"url","teacher","teacher_link","top_responder","avg_star_rating","total_reviews","total_students","total_courses"
"https://www.udemy.com/tableau-data-visualization/","AkaSkills !","https://www.udemy.com/user/aka-skills/","","4","117","8773","6"
"https://www.udemy.com/applied-data-science-with-r/","V2 Maestros, LLC","https://www.udemy.com/user/kumaranponnambalam/","","4.2","3707","37142","13"
"https://www.udemy.com/software-testing-business-analyst/","Jeremy Aschenbrenner | The BA Guide","https://www.udemy.com/user/jeremy-aschenbrenner/","","4.5","2919","15624","6"
"https://www.udemy.com/practical-data-cleaning/","Lee Baker","https://www.udemy.com/user/lee-baker-6/","","3.7","18","2379","1"
"https://www.udemy.com/hands-on-machine-learning-without-writing-code/","Ram Prasad","https://www.udemy.com/user/ramprasad31/","","4.5","14","1887","1"
"https://www.udemy.com/essential-presentations-for-business-analysts-and-consultant/","Asen Gyczew","https://www.udemy.com/user/asengyczew/","","4.3","1204","23776","23"
"https://www.udemy.com/clusteranalysisandunsupervisedmachinelearningwithpython/","Ermin Dedic","https://www.udemy.com/user/ermin-dedic/","","4.3","422","8479","11"
"https://www.udemy.com/developing-requirements/","Don Hussey","https://www.udemy.com/user/donhussey/","","4.4","2990","17639","6"
"https://www.udemy.com/statistical-analysis-in-excel/","Skillfin Learning","https://www.udemy.com/user/instructorskillfinlearning/","","4.4","406","10177","13"
"https://www.udemy.com/sql-and-databases/","Loony Corn","https://www.udemy.com/user/janani-ravi-2/","","4.3","6169","45839","77"
"https://www.udemy.com/become-qlikview-designer-from-scratch/","Shilpan Patel","https://www.udemy.com/user/shilpan/","","4","1657","6736","5"
"https://www.udemy.com/web-analytics-conversion-strategy/","Christine Maisel","https://www.udemy.com/user/christine131/","","4.5","6498","80035","14"
"https://www.udemy.com/mastering-hadoop-the-how-to-guide-of-a-practical-approach/","Shyam Agarwal","https://www.udemy.com/user/pvt-droidhub-ltd/","","3.7","45","5371","1"
"https://www.udemy.com/statistics-using-r/","Sandeep Kumar ­","https://www.udemy.com/user/sandeepkumar1/","Top-responder","4.4","4963","23107","11"
"https://www.udemy.com/text-mining-and-sentiment-analysis-with-tableau-and-r/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","","4.4","6502","67566","18"
"https://www.udemy.com/sas-macro-programming-by-example/","Gopal Prasad Malakar","https://www.udemy.com/user/gopalprasadmalakar/","","4.2","2186","25469","16"
"https://www.udemy.com/tableau-complete-course/","TELCOMA! 34,000+ Students!","https://www.udemy.com/user/telcoma/","","3.9","1394","34235","21"
"https://www.udemy.com/power-bi-desktop-masterclass-data-analysis-for-everyone/","Paula Guilfoyle","https://www.udemy.com/user/paulaguilfoyle/","","4.4","1826","25132","20"
"https://www.udemy.com/tableau-data-analytics-must-see-introduction-to-analytics/","Dhruv Bais","https://www.udemy.com/user/548657673a1b6/","","4.1","3022","46062","23"
"https://www.udemy.com/sql-for-marketers-data-analytics-data-science-big-data/","Lazy Programmer Inc.","https://www.udemy.com/user/lazy-programmer/","","4.6","16611","88195","19"
"https://www.udemy.com/powerful-reports-and-dashboards-with-microsoft-powerbi/","Ian Littlejohn","https://www.udemy.com/user/ianlittlejohn2/","","4.4","1988","11602","11"
"https://www.udemy.com/tableau-interview/","Kirill Eremenko","https://www.udemy.com/user/kirilleremenko/","","4.5","69120","278922","33"
"https://www.udemy.com/tableau-interview/","SuperDataScience Team","https://www.udemy.com/user/superdatascience-team/","","4.5","62181","252305","22"
"https://www.udemy.com/r-shiny-web-apps-data-visualization/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","","4.4","6502","67553","18"
"https://www.udemy.com/essential-excel-for-business-analysts-and-consultants/","Asen Gyczew","https://www.udemy.com/user/asengyczew/","","4.3","1204","23776","23"
"https://www.udemy.com/is-my-startup-doing-ok/","Paul Scotchford","https://www.udemy.com/user/paulscotchford2/","","4.5","2180","31336","4"
"https://www.udemy.com/data-mining-with-r-go-from-beginner-to-advanced/","Geoffrey Hubona, Ph.D.","https://www.udemy.com/user/drgeoffreyhubona/","","4","1600","13301","28"
"https://www.udemy.com/comprcourse/","Geoffrey Hubona, Ph.D.","https://www.udemy.com/user/drgeoffreyhubona/","","4","1600","13300","28"
"https://www.udemy.com/the-data-analyst-skills-training-course-dast-with-excel/","Skillfin Learning","https://www.udemy.com/user/instructorskillfinlearning/","","4.4","406","10177","13"
"https://www.udemy.com/data-analytics-with-excel-pivottables-2016/","UpSkill Ladder","https://www.udemy.com/user/upskillladder/","","4.3","268","4466","3"
"https://www.udemy.com/data-analytics-with-excel-pivottables-2016/","Navya Kannan","https://www.udemy.com/user/navya-saavan/","","4.2","225","2979","1"
"https://www.udemy.com/web-analytics-learn-nuts-bolts-of-web-analytics/","Talent Nurture Academy","https://www.udemy.com/user/talent-nurture-academy/","","3.2","431","32035","3"
"https://www.udemy.com/intro-to-bpm/","Don Hussey","https://www.udemy.com/user/donhussey/","","4.4","2990","17639","6"
"https://www.udemy.com/r-social-media-mining-scraping-with-twitter/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","","4.4","6502","67559","18"
"https://www.udemy.com/applied-data-science-with-python/","V2 Maestros, LLC","https://www.udemy.com/user/kumaranponnambalam/","","4.2","3707","37142","13"
"https://www.udemy.com/sql-for-punk-analytics/","Paul Scotchford","https://www.udemy.com/user/paulscotchford2/","Top-responder","4.5","2180","31338","4"
"https://www.udemy.com/r-level1/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","","4.4","6502","67563","18"
"https://www.udemy.com/power-bi-query-editor-how-to-become-a-data-cleansing-star/","Doug Burke","https://www.udemy.com/user/doug-burke/","","3.9","55","1463","4"
"https://www.udemy.com/ibm-spss/","Sana Nazir","https://www.udemy.com/user/sana-nazir/","","2.3","99","8804","4"
"https://www.udemy.com/time-series-analysis-and-forecasting-in-r/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","Top-responder","4.4","6502","67563","18"
"https://www.udemy.com/data-visualization-why-charts-are-better-than-numbers/","Nicolae Urs","https://www.udemy.com/user/nicolaeurs/","","4.3","29","5749","1"
"https://www.udemy.com/google-sheets-forms-beginner-to-expert/","Joe Buchmann","https://www.udemy.com/user/joebuchmann/","","4.7","262","6126","6"
"https://www.udemy.com/data-analysis-and-dashboards-with-google-data-studio/","Ian Littlejohn","https://www.udemy.com/user/ianlittlejohn2/","","4.4","1988","11601","11"
"https://www.udemy.com/forecasting-and-time-series-analysis-in-tableau/","R-Tutorials Training","https://www.udemy.com/user/rtutorials/","","4.4","6502","67563","18"
"https://www.udemy.com/introduction-to-data-science/","Nina Zumel","https://www.udemy.com/user/ninazumel/","","3.9","124","2665","1"
"https://www.udemy.com/introduction-to-data-science/","John Mount","https://www.udemy.com/user/johnmount/","","3.9","124","2665","1"
"https://www.udemy.com/management-consulting-cases-for-job-interview/","Asen Gyczew","https://www.udemy.com/user/asengyczew/","","4.3","1204","23776","23"
"https://www.udemy.com/text-analyticstext-mining-using-r/","ExcelR Solutions","https://www.udemy.com/user/5553b3eb96db8/","","4","835","8023","8"
