"url","Search Course 2","Search Course 2_alt","Search Course 2_link","Search Course 3","Search Course 3_link","Badge Content Text","Badge Content Link","Badge Content Link_link","Search Course 4","Search Course 4_link","Search Course 5","Search Course 6","Search Course 7","Search Course 8","Search Course 9","Search Course 10","React Text","Search Course 11","Search Course 12","Search Course 13","Search Course 13_link","Search Course 14","Search Course 14_link"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/1208634_cd50.jpg","course image","https://www.udemy.com/powerbi-complete-introduction/","Microsoft Power BI - A Complete Introduction","https://www.udemy.com/powerbi-complete-introduction/","in Microsoft Power BI | Data & Analytics","Microsoft Power BI","https://www.udemy.com/topic/microsoft-power-bi/","Manuel Lorenz• Professional Business Analyst","https://www.udemy.com/powerbi-complete-introduction/#instructor","Learn how to use Microsoft's Power BI Tools, including Power BI Desktop, Power BI Service and PowerBI Developer","123 lectures","10 hours","Beginner Level","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.7","https://www.udemy.com/powerbi-complete-introduction/#reviews","(682 ratings)","https://www.udemy.com/powerbi-complete-introduction/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/513244_b831_2.jpg","course image","https://www.udemy.com/datascience/","Data Science A-Z™: Real-Life Data Science Exercises Included","https://www.udemy.com/datascience/","","","","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/datascience/#instructor","Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!","210 lectures","21 hours","All Levels","English, Dutch, 
5 more
French
Hindi
Korean
Polish
Traditional Chinese","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.5","https://www.udemy.com/datascience/#reviews","(8,367 ratings)","https://www.udemy.com/datascience/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/1251578_1791_3.jpg","course image","https://www.udemy.com/elasticsearch-and-elastic-stack-in-depth-and-hands-on/","Elasticsearch 5 and Elastic Stack - In Depth and Hands On!","https://www.udemy.com/elasticsearch-and-elastic-stack-in-depth-and-hands-on/","","","","Sundog Education by Frank Kane• Training the World in Big Data and Machine Learning","https://www.udemy.com/elasticsearch-and-elastic-stack-in-depth-and-hands-on/#instructor","Search, analyze, and visualize big data on a cluster with Elasticsearch, Logstash, Beats, Kibana, and more.","62 lectures","8 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$150","4.6","https://www.udemy.com/elasticsearch-and-elastic-stack-in-depth-and-hands-on/#reviews","(417 ratings)","https://www.udemy.com/elasticsearch-and-elastic-stack-in-depth-and-hands-on/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=2","https://udemy-images.udemy.com/course/304x171/1140660_7027_4.jpg","course image","https://www.udemy.com/zero-to-deep-learning/","Zero to Deep Learning™ with Python and Keras","https://www.udemy.com/zero-to-deep-learning/","in Keras | Data & Analytics","Keras","https://www.udemy.com/topic/keras/","Data Weekends• Learn the essentials of Data Science in just one weekend","https://www.udemy.com/zero-to-deep-learning/#instructor","Understand and build Deep Learning models for images, text, sound and more using Python and Keras","132 lectures","9.5 hours","Intermediate Level","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.4","https://www.udemy.com/zero-to-deep-learning/#reviews","(539 ratings)","https://www.udemy.com/zero-to-deep-learning/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/996228_af5f_2.jpg","course image","https://www.udemy.com/the-ultimate-hands-on-hadoop-tame-your-big-data/","The Ultimate Hands-On Hadoop - Tame your Big Data!","https://www.udemy.com/the-ultimate-hands-on-hadoop-tame-your-big-data/","in Big Data | Data & Analytics","Big Data","https://www.udemy.com/topic/big-data/","Sundog Education by Frank Kane• Training the World in Big Data and Machine Learning","https://www.udemy.com/the-ultimate-hands-on-hadoop-tame-your-big-data/#instructor","Hadoop, MapReduce, HDFS, Spark, Pig, Hive, HBase, MongoDB, Cassandra, Flume - the list goes on! Over 25 technologies.","96 lectures","14.5 hours","All Levels","English","Updated Invalid date","Updated Invalid date","Updated Invalid date","$180","4.6","https://www.udemy.com/the-ultimate-hands-on-hadoop-tame-your-big-data/#reviews","(3,044 ratings)","https://www.udemy.com/the-ultimate-hands-on-hadoop-tame-your-big-data/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/1281492_28d8_3.jpg","course image","https://www.udemy.com/deep-learning-gans-and-variational-autoencoders/","Deep Learning: GANs and Variational Autoencoders","https://www.udemy.com/deep-learning-gans-and-variational-autoencoders/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/deep-learning-gans-and-variational-autoencoders/#instructor","Generative Adversarial Networks and Variational Autoencoders in Python, Theano, and Tensorflow","41 lectures","5.5 hours","Intermediate Level","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$180","4.7","https://www.udemy.com/deep-learning-gans-and-variational-autoencoders/#reviews","(93 ratings)","https://www.udemy.com/deep-learning-gans-and-variational-autoencoders/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/1298780_731f_3.jpg","course image","https://www.udemy.com/statistics-for-data-science-and-business-analysis/","Statistics for Data Science and Business Analysis","https://www.udemy.com/statistics-for-data-science-and-business-analysis/","","","","365 Careers• Creating opportunities for Business & Finance students","https://www.udemy.com/statistics-for-data-science-and-business-analysis/#instructor","Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis","60 lectures","4 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$150","4.5","https://www.udemy.com/statistics-for-data-science-and-business-analysis/#reviews","(296 ratings)","https://www.udemy.com/statistics-for-data-science-and-business-analysis/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/950390_270f_3.jpg","course image","https://www.udemy.com/machinelearning/","Machine Learning A-Z™: Hands-On Python & R In Data Science","https://www.udemy.com/machinelearning/","in Data Science | Data & Analytics","Data Science","https://www.udemy.com/topic/data-science/","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/machinelearning/#instructor","Learn to create Machine Learning Algorithms in Python and R from two Data Science experts. Code templates included.","276 lectures","41 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.5","https://www.udemy.com/machinelearning/#reviews","(21,674 ratings)","https://www.udemy.com/machinelearning/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/944014_b9e0.jpg","course image","https://www.udemy.com/data-science-supervised-machine-learning-in-python/","Data Science: Supervised Machine Learning in Python","https://www.udemy.com/data-science-supervised-machine-learning-in-python/","","","","Lazy Programmer Inc.• Data scientist and big data engineer","https://www.udemy.com/data-science-supervised-machine-learning-in-python/#instructor","Full Guide to Implementing Classic Machine Learning Algorithms in Python and with Sci-Kit Learn","38 lectures","3.5 hours","Beginner Level","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$120","4.6","https://www.udemy.com/data-science-supervised-machine-learning-in-python/#reviews","(378 ratings)","https://www.udemy.com/data-science-supervised-machine-learning-in-python/#reviews"
"https://www.udemy.com/courses/business/data-and-analytics/all-courses/?p=3","https://udemy-images.udemy.com/course/304x171/1151632_de9b.jpg","course image","https://www.udemy.com/deeplearning/","Deep Learning A-Z™: Hands-On Artificial Neural Networks","https://www.udemy.com/deeplearning/","in Deep Learning | Data & Analytics","Deep Learning","https://www.udemy.com/topic/deep-learning/","Kirill Eremenko• Data Scientist & Forex Systems Expert","https://www.udemy.com/deeplearning/#instructor","Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.","179 lectures","23 hours","All Levels","English [Auto-generated]","Updated Invalid date","Updated Invalid date","Updated Invalid date","$200","4.5","https://www.udemy.com/deeplearning/#reviews","(4,995 ratings)","https://www.udemy.com/deeplearning/#reviews"
